City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Namibe,AO,2022-02-12 19:17:31,-15.1961,12.1522,76.23,80,83,7.78
68,Saint-Philippe,RE,2022-02-12 19:13:48,-21.3585,55.7679,78.35,85,19,10.4
69,Nuuk,GL,2022-02-12 19:12:45,64.1835,-51.7216,16.41,86,100,11.5
70,Saldanha,ZA,2022-02-12 19:17:32,-33.0117,17.9442,66.81,84,100,13.96
71,Pevek,RU,2022-02-12 19:17:32,69.7008,170.3133,-23.31,98,100,9.42
72,Puerto Ayora,EC,2022-02-12 19:12:43,-0.7393,-90.3518,87.76,84,100,4.0
73,Beringovskiy,RU,2022-02-12 19:12:49,63.05,179.3167,-25.98,95,11,7.65
74,Okhotsk,RU,2022-02-12 19:17:33,59.3833,143.3,-13.99,81,9,9.46
75,Yellowknife,CA,2022-02-12 19:13:03,62.456,-114.3525,-13.72,83,26,1.99
76,Trinidad,BO,2022-02-12 19:17:33,-14.8333,-64.9,82.38,78,75,5.75
77,Pangnirtung,CA,2022-02-12 19:14:00,66.1451,-65.7125,-2.2,78,100,5.75
78,Peniche,PT,2022-02-12 19:14:22,39.3558,-9.3811,57.61,82,43,9.75
79,Marsa Matruh,EG,2022-02-12 19:13:07,31.3525,27.2453,57.13,70,0,8.37
80,Zhigansk,RU,2022-02-12 19:13:04,66.7697,123.3711,-33.65,100,83,3.96
81,Hobart,AU,2022-02-12 19:12:40,-42.8794,147.3294,57.25,75,100,6.91
82,Flinders,AU,2022-02-12 19:13:09,-34.5833,150.8552,64.2,93,85,4.0
83,Taltal,CL,2022-02-12 19:15:21,-25.4,-70.4833,70.97,70,22,6.87
84,Hamilton,US,2022-02-12 19:17:35,39.1834,-84.5333,31.98,78,100,12.66
85,Jamestown,US,2022-02-12 19:12:50,42.097,-79.2353,31.32,63,100,9.22
86,Sakakah,SA,2022-02-12 19:13:11,29.9697,40.2064,52.38,35,0,4.92
87,Longyearbyen,SJ,2022-02-12 19:08:58,78.2186,15.6401,8.44,78,0,12.66
88,Bandarbeyla,SO,2022-02-12 19:14:11,9.4942,50.8122,76.42,66,100,12.88
89,Dikson,RU,2022-02-12 19:13:21,73.5069,80.5464,-2.11,77,100,27.42
90,Qaanaaq,GL,2022-02-12 19:12:53,77.484,-69.3632,-20.29,47,0,8.5
91,Cidreira,BR,2022-02-12 19:13:12,-30.1811,-50.2056,78.76,69,1,18.14
